Rank,Player,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
141.0,Brandon Miller,22.0,CHO,SF,27.0,27.0,924.0,14.3,0.54,0.597,0.161,2.8,12.7,7.6,18.1,1.5,2.2,12.6,27.5,0.1,0.8,0.9,0.047,0.9,-0.8,0.1,0.5,
142.0,Julian Strawther,22.0,DEN,SG,42.0,0.0,924.0,10.3,0.576,0.54,0.198,1.5,9.0,5.4,8.1,1.4,1.2,9.3,17.2,0.7,0.6,1.3,0.068,-2.4,-0.9,-3.3,-0.3,
143.0,Mike Conley,37.0,MIN,PG,38.0,32.0,923.0,12.5,0.53,0.677,0.2,2.2,9.4,5.9,23.8,2.5,0.8,13.2,15.5,1.0,1.2,2.2,0.115,-1.1,1.3,0.3,0.5,
144.0,LaMelo Ball,23.0,CHO,PG,27.0,27.0,921.0,21.7,0.551,0.532,0.235,2.9,14.1,8.3,44.1,2.0,1.0,12.8,37.9,1.3,0.9,2.2,0.113,5.5,-0.2,5.3,1.7,
145.0,Scotty Pippen Jr.,24.0,MEM,PG,42.0,16.0,920.0,14.9,0.566,0.372,0.265,3.5,12.4,8.1,27.8,2.4,1.6,17.6,19.6,1.1,1.4,2.5,0.128,-0.4,1.4,1.0,0.7,
146.0,Cody Martin,29.0,CHO,SF,36.0,7.0,919.0,11.9,0.537,0.472,0.171,4.2,15.3,9.6,12.8,2.2,2.6,12.6,14.2,0.5,1.1,1.5,0.08,-2.2,1.2,-1.1,0.2,
147.0,Kyshawn George,21.0,WAS,SG,36.0,8.0,916.0,7.8,0.477,0.687,0.172,3.4,12.2,7.8,12.0,1.5,2.2,12.5,14.9,-0.4,0.2,-0.2,-0.012,-4.2,-1.0,-5.2,-0.7,
148.0,Santi Aldama,24.0,MEM,PF,36.0,11.0,911.0,18.6,0.61,0.45,0.152,6.7,22.4,14.8,14.7,1.6,1.7,9.4,18.9,2.0,1.4,3.4,0.18,3.2,1.0,4.1,1.4,
149.0,Davion Mitchell,26.0,TOR,PG,37.0,17.0,907.0,7.8,0.515,0.485,0.172,1.8,7.2,4.5,23.6,1.4,0.9,22.0,13.0,0.0,0.1,0.1,0.007,-3.9,-0.7,-4.6,-0.6,
150.0,Duncan Robinson,30.0,MIA,SF,39.0,21.0,905.0,12.2,0.572,0.708,0.079,1.5,9.4,5.5,17.7,1.0,0.4,9.6,19.7,0.8,0.7,1.4,0.077,-0.5,-1.3,-1.8,0.0,
151.0,D'Angelo Russell,28.0,2TM,PG,35.0,13.0,902.0,14.7,0.544,0.534,0.194,1.1,11.5,6.3,31.2,1.8,0.6,13.3,22.7,0.8,0.5,1.3,0.069,0.0,-1.1,-1.1,0.2,
151.0,D'Angelo Russell,28.0,LAL,PG,29.0,10.0,763.0,13.1,0.537,0.54,0.17,1.2,10.7,6.0,26.5,1.5,0.5,13.0,22.2,0.4,0.3,0.7,0.044,-0.7,-1.5,-2.2,0.0,
151.0,D'Angelo Russell,28.0,BRK,PG,6.0,3.0,139.0,23.4,0.578,0.5,0.317,0.8,15.7,8.0,57.2,3.6,1.5,14.9,25.4,0.4,0.2,0.6,0.206,3.9,1.1,5.0,0.2,
152.0,Quentin Grimes,24.0,DAL,SG,40.0,11.0,901.0,14.1,0.6,0.555,0.226,3.4,15.3,9.5,13.1,1.5,0.9,12.3,18.4,1.1,0.9,2.0,0.108,0.6,-0.2,0.4,0.6,
153.0,Jake LaRavia,23.0,MEM,PF,41.0,0.0,901.0,13.7,0.609,0.382,0.395,7.1,14.3,10.7,17.5,1.8,1.9,19.1,14.6,1.3,1.3,2.6,0.137,0.2,1.4,1.6,0.8,
154.0,Al Horford,38.0,BOS,C,33.0,25.0,901.0,12.2,0.57,0.73,0.05,3.9,17.2,10.5,10.3,1.3,2.9,9.5,13.1,1.0,1.2,2.2,0.118,0.1,1.0,1.1,0.7,
155.0,Jaden Ivey,22.0,DET,SG,30.0,30.0,898.0,15.2,0.569,0.373,0.281,5.0,10.4,7.7,20.5,1.5,1.2,16.1,26.3,0.4,0.7,1.1,0.061,0.6,-1.1,-0.5,0.3,
156.0,Royce O'Neale,31.0,PHO,SF,35.0,9.0,893.0,13.8,0.604,0.703,0.079,4.2,19.0,11.8,12.5,1.8,2.1,11.9,16.2,0.9,0.8,1.7,0.091,0.5,0.1,0.6,0.6,
157.0,Keon Johnson,22.0,BRK,SG,41.0,21.0,888.0,8.0,0.471,0.545,0.141,3.3,14.2,8.6,12.2,1.9,1.4,12.6,21.3,-1.2,0.6,-0.6,-0.031,-4.6,-0.9,-5.5,-0.8,
158.0,Goga Bitadze,25.0,ORL,C,36.0,33.0,886.0,20.2,0.641,0.081,0.318,12.4,27.4,19.4,15.6,1.8,6.4,15.9,15.7,1.8,1.9,3.7,0.2,0.3,3.0,3.3,1.2,
159.0,Paul George,34.0,PHI,PF,27.0,27.0,883.0,15.5,0.536,0.458,0.185,2.3,19.4,10.4,24.2,2.8,1.2,14.3,25.2,0.0,1.1,1.1,0.058,0.1,0.3,0.4,0.5,
160.0,Gary Trent Jr.,26.0,MIL,SG,36.0,7.0,882.0,10.5,0.594,0.646,0.117,0.8,9.0,5.0,5.1,2.1,0.1,7.1,15.3,0.6,0.9,1.5,0.083,-2.5,0.1,-2.4,-0.1,
161.0,Patrick Williams,23.0,CHI,PF,33.0,32.0,878.0,9.2,0.51,0.542,0.165,2.5,12.2,7.5,10.4,1.5,2.1,12.9,16.6,-0.4,0.6,0.2,0.013,-2.7,-0.6,-3.3,-0.3,
162.0,Aaron Wiggins,26.0,OKC,SG,42.0,11.0,877.0,15.0,0.597,0.455,0.102,5.2,12.3,8.8,10.5,1.8,1.3,9.9,18.3,1.2,1.6,2.8,0.151,0.8,0.5,1.2,0.7,
163.0,Jaime Jaquez Jr.,23.0,MIA,SF,37.0,10.0,874.0,13.8,0.533,0.274,0.329,5.8,15.9,11.0,17.1,2.7,0.7,15.0,19.9,0.2,1.2,1.4,0.078,-2.1,0.9,-1.2,0.2,
164.0,Kevin Huerter,26.0,SAC,SG,38.0,15.0,860.0,11.0,0.529,0.659,0.091,2.4,12.6,7.5,10.9,2.0,1.8,10.2,17.0,0.2,0.9,1.1,0.059,-2.1,0.1,-2.0,0.0,
165.0,Dejounte Murray,28.0,NOP,PG,26.0,26.0,858.0,14.9,0.483,0.365,0.215,1.7,20.3,10.6,35.3,3.3,1.2,17.0,26.7,-0.7,0.8,0.1,0.006,-1.4,0.0,-1.4,0.1,
166.0,Keon Ellis,25.0,SAC,SG,40.0,10.0,858.0,13.9,0.669,0.715,0.237,4.0,8.5,6.2,6.9,3.0,3.3,12.3,13.0,1.3,1.1,2.5,0.138,0.3,1.9,2.2,0.9,
167.0,Dalton Knecht,23.0,LAL,SF,40.0,12.0,853.0,12.2,0.582,0.608,0.176,3.2,13.8,8.5,6.9,0.9,0.3,5.9,17.5,0.9,0.3,1.2,0.068,-0.8,-2.2,-3.0,-0.2,
168.0,Caris LeVert,30.0,CLE,SF,35.0,2.0,843.0,15.6,0.603,0.498,0.3,2.7,10.4,6.6,20.2,1.8,2.0,13.0,18.3,1.5,0.9,2.4,0.139,1.3,0.6,1.9,0.8,
169.0,Jonathan Kuminga,22.0,GSW,PF,32.0,10.0,832.0,16.7,0.539,0.274,0.4,5.4,14.9,10.0,13.6,1.7,2.1,9.1,27.6,0.5,1.0,1.5,0.087,0.5,-0.2,0.3,0.5,
170.0,Franz Wagner,23.0,ORL,SF,25.0,25.0,829.0,22.8,0.573,0.336,0.285,3.0,17.5,9.8,33.0,2.6,1.4,10.3,31.1,1.6,1.4,3.0,0.176,4.3,1.8,6.1,1.7,
171.0,Georges Niang,31.0,CLE,PF,41.0,1.0,827.0,11.3,0.607,0.634,0.068,3.9,15.9,10.1,9.4,0.8,0.7,12.8,17.1,0.7,0.8,1.5,0.088,-1.2,-0.8,-1.9,0.0,
172.0,A.J. Green,25.0,MIL,SG,38.0,4.0,827.0,10.5,0.65,0.881,0.062,1.4,10.0,5.8,7.8,1.1,0.5,8.3,13.4,1.1,0.7,1.8,0.104,-1.0,-0.5,-1.4,0.1,
173.0,Isaiah Joe,25.0,OKC,SG,40.0,11.0,823.0,12.9,0.583,0.782,0.065,2.2,10.7,6.5,8.9,1.8,0.7,5.7,17.4,1.0,1.4,2.4,0.141,0.3,0.4,0.7,0.6,
174.0,Javonte Green,31.0,NOP,SG,38.0,14.0,823.0,11.6,0.589,0.441,0.277,4.9,12.7,8.6,5.3,2.3,3.1,10.8,11.4,0.7,0.5,1.2,0.071,-2.1,0.2,-1.9,0.0,
175.0,Onyeka Okongwu,24.0,ATL,C,34.0,0.0,816.0,19.0,0.608,0.192,0.32,12.2,21.7,16.8,10.6,1.3,3.6,7.8,17.3,2.0,0.9,2.9,0.168,0.9,0.0,0.9,0.6,
176.0,Trayce Jackson-Davis,24.0,GSW,C,40.0,33.0,816.0,18.4,0.585,0.004,0.28,11.9,22.0,16.8,15.7,1.1,4.0,11.9,16.9,1.5,1.2,2.7,0.159,0.3,0.9,1.2,0.6,
177.0,Jonas Valančiūnas,32.0,WAS,C,41.0,8.0,809.0,21.9,0.611,0.065,0.254,12.7,30.7,21.6,19.2,1.2,3.2,16.2,24.1,1.3,0.7,2.0,0.117,1.6,-0.4,1.1,0.6,
178.0,Naji Marshall,27.0,DAL,SF,33.0,14.0,809.0,14.5,0.595,0.317,0.183,4.0,11.6,7.9,14.8,2.0,0.3,13.3,18.7,1.0,0.8,1.7,0.103,-0.3,0.2,-0.1,0.4,
179.0,John Collins,27.0,UTA,PF,27.0,18.0,808.0,19.9,0.632,0.264,0.312,8.7,21.4,15.2,13.9,1.8,2.9,15.1,23.5,1.5,0.6,2.1,0.126,2.0,-0.2,1.8,0.8,
180.0,T.J. McConnell,32.0,IND,PG,42.0,0.0,802.0,19.3,0.559,0.069,0.127,3.4,11.4,7.5,35.7,2.9,1.4,14.1,24.1,1.0,0.8,1.8,0.111,0.8,0.5,1.4,0.7,
181.0,Daniel Gafford,26.0,DAL,C,40.0,17.0,800.0,24.1,0.715,0.0,0.493,12.8,19.4,16.2,9.2,1.0,6.4,12.6,19.9,2.8,1.2,3.9,0.234,2.2,1.0,3.2,1.1,
182.0,Isaiah Stewart,23.0,DET,C,38.0,3.0,796.0,14.1,0.579,0.195,0.225,11.3,20.0,15.7,11.4,1.1,5.9,15.5,11.8,1.2,1.1,2.2,0.133,-1.8,1.8,-0.1,0.4,
183.0,Andrew Nembhard,25.0,IND,SG,28.0,28.0,793.0,12.1,0.545,0.278,0.29,2.0,10.8,6.5,23.3,1.8,0.4,15.5,17.6,0.5,0.5,1.0,0.063,-2.0,-0.2,-2.2,0.0,
