Rank_x,Player,Age_x,Team,Pos_x,G_x,GS_x,MP_per_game,FG_per_game,FGA_per_game,FG%_per_game,3P_per_game,3PA_per_game,3P%_per_game,2P_per_game,2PA_per_game,2P%_per_game,eFG%_per_game,FT_per_game,FTA_per_game,FT%_per_game,ORB_per_game,DRB_per_game,TRB_per_game,AST_per_game,STL_per_game,BLK_per_game,TOV_per_game,PF_per_game,PTS_per_game,Awards_per_game,Season,Rank_y,Age_y,Pos_y,G_y,GS_y,MP_advanced,PER_advanced,TS%_advanced,3PAr_advanced,FTr_advanced,ORB%_advanced,DRB%_advanced,TRB%_advanced,AST%_advanced,STL%_advanced,BLK%_advanced,TOV%_advanced,USG%_advanced,OWS_advanced,DWS_advanced,WS_advanced,WS/48_advanced,OBPM_advanced,DBPM_advanced,BPM_advanced,VORP_advanced,Awards_advanced,Rank,Age,Pos,G,GS,MP_totals,FG_totals,FGA_totals,FG%_totals,3P_totals,3PA_totals,3P%_totals,2P_totals,2PA_totals,2P%_totals,eFG%_totals,FT_totals,FTA_totals,FT%_totals,ORB_totals,DRB_totals,TRB_totals,AST_totals,STL_totals,BLK_totals,TOV_totals,PF_totals,PTS_totals,Trp-Dbl_totals,Awards_totals,Tm,Record,Seed,win_pct
12.0,LaMelo Ball,23.0,CHO,PG,41.0,41.0,32.3,8.8,21.9,0.403,3.8,11.6,0.331,5.0,10.3,0.483,0.491,4.1,5.0,0.828,1.0,4.3,5.3,7.0,1.2,0.3,3.5,3.4,25.6,,2024-25,156.0,23.0,PG,41.0,41.0,1324.0,19.1,0.532,0.529,0.228,3.2,14.5,8.7,41.9,1.8,0.9,12.8,36.1,0.7,1.2,1.9,0.07,4.0,-0.7,3.3,1.8,,51.0,23.0,PG,41.0,41.0,1324.0,361.0,896.0,0.403,157.0,474.0,0.331,204.0,422.0,0.483,0.491,169.0,204.0,0.828,41.0,175.0,216.0,289.0,49.0,12.0,145.0,138.0,1048.0,0.0,,Charlotte Hornets,16-48,28.0,0.25
13.0,Cade Cunningham,23.0,DET,PG,60.0,60.0,35.3,9.5,20.5,0.463,2.2,6.2,0.361,7.3,14.3,0.508,0.518,4.4,5.1,0.857,0.8,5.3,6.1,9.3,1.0,0.8,4.6,2.7,25.6,,2024-25,19.0,23.0,PG,60.0,60.0,2118.0,20.1,0.563,0.302,0.25,2.5,16.4,9.5,42.8,1.4,2.0,16.7,32.6,2.4,2.5,5.0,0.112,3.5,-0.1,3.4,2.9,,7.0,23.0,PG,60.0,60.0,2118.0,570.0,1230.0,0.463,134.0,371.0,0.361,436.0,859.0,0.508,0.518,264.0,308.0,0.857,47.0,317.0,364.0,555.0,62.0,45.0,274.0,163.0,1538.0,8.0,,Detroit Pistons,36-29,13.0,0.5538461538461539
14.0,Damian Lillard,34.0,MIL,PG,53.0,53.0,36.2,7.9,17.4,0.453,3.5,9.1,0.378,4.4,8.3,0.537,0.553,6.2,6.8,0.922,0.5,4.2,4.7,7.1,1.2,0.2,2.9,1.7,25.5,,2024-25,45.0,34.0,PG,53.0,53.0,1917.0,21.7,0.625,0.525,0.389,1.6,11.9,7.0,29.9,1.7,0.4,12.5,28.0,5.4,2.0,7.3,0.183,4.7,-0.7,4.0,2.9,,21.0,34.0,PG,53.0,53.0,1917.0,418.0,922.0,0.453,183.0,484.0,0.378,235.0,438.0,0.537,0.553,331.0,359.0,0.922,28.0,221.0,249.0,375.0,66.0,9.0,154.0,91.0,1350.0,2.0,,Milwaukee Bucks,36-27,9.0,0.5714285714285714
15.0,LeBron James,40.0,LAL,SF,58.0,58.0,34.9,9.6,18.5,0.517,2.3,5.9,0.384,7.3,12.6,0.58,0.579,3.6,4.7,0.77,1.0,7.2,8.2,8.5,0.9,0.6,3.9,1.5,25.0,,2024-25,29.0,40.0,SF,58.0,58.0,2023.0,23.4,0.608,0.321,0.252,3.4,22.4,13.2,42.5,1.3,1.6,15.9,30.8,4.2,2.5,6.7,0.16,5.3,0.9,6.2,4.2,,11.0,40.0,SF,58.0,58.0,2023.0,555.0,1073.0,0.517,132.0,344.0,0.384,423.0,729.0,0.58,0.579,208.0,270.0,0.77,59.0,417.0,476.0,495.0,52.0,35.0,226.0,85.0,1450.0,10.0,,Los Angeles Lakers,40-23,6.0,0.6349206349206349
16.0,Kyrie Irving,32.0,DAL,SG,50.0,50.0,36.1,8.9,18.9,0.473,2.9,7.2,0.401,6.1,11.7,0.517,0.549,3.9,4.3,0.916,1.2,3.6,4.8,4.6,1.3,0.5,2.2,2.0,24.7,,2024-25,57.0,32.0,SG,50.0,50.0,1804.0,20.0,0.594,0.38,0.226,3.7,10.6,7.2,20.5,1.8,1.1,9.7,27.3,3.7,1.3,4.9,0.132,3.9,-0.5,3.4,2.5,,29.0,32.0,SG,50.0,50.0,1804.0,447.0,945.0,0.473,144.0,359.0,0.401,303.0,586.0,0.517,0.549,196.0,214.0,0.916,60.0,180.0,240.0,231.0,66.0,23.0,111.0,101.0,1234.0,0.0,,Dallas Mavericks,33-33,16.0,0.5
17.0,Stephen Curry,36.0,GSW,PG,56.0,56.0,32.2,8.1,18.0,0.448,4.5,11.3,0.398,3.6,6.8,0.532,0.573,3.9,4.2,0.936,0.6,3.8,4.4,6.1,1.1,0.4,2.9,1.3,24.5,,2024-25,58.0,36.0,PG,56.0,56.0,1803.0,21.5,0.618,0.625,0.231,1.8,13.0,7.3,31.6,1.6,1.2,12.7,29.6,4.2,2.0,6.2,0.165,6.5,-0.3,6.2,3.8,,16.0,36.0,PG,56.0,56.0,1803.0,452.0,1008.0,0.448,251.0,630.0,0.398,201.0,378.0,0.532,0.573,218.0,233.0,0.936,32.0,214.0,246.0,344.0,60.0,23.0,162.0,74.0,1373.0,0.0,,Golden State Warriors,37-28,10.0,0.5692307692307692
18.0,Franz Wagner,23.0,ORL,SF,46.0,46.0,33.6,9.0,19.5,0.464,1.8,5.9,0.303,7.3,13.6,0.534,0.51,4.6,5.4,0.852,1.0,4.6,5.5,4.7,1.4,0.4,2.2,2.6,24.5,,2024-25,102.0,23.0,SF,46.0,46.0,1547.0,20.8,0.56,0.302,0.279,3.2,16.6,9.5,27.3,2.0,1.2,9.3,31.3,2.1,2.3,4.4,0.138,3.1,0.6,3.7,2.2,,33.0,23.0,SF,46.0,46.0,1547.0,416.0,896.0,0.464,82.0,271.0,0.303,334.0,625.0,0.534,0.51,213.0,250.0,0.852,45.0,210.0,255.0,217.0,63.0,19.0,103.0,120.0,1127.0,0.0,,Orlando Magic,30-36,19.0,0.45454545454545453
21.0,Victor Wembanyama,21.0,SAS,C,46.0,46.0,33.2,8.9,18.6,0.476,3.1,8.8,0.352,5.8,9.9,0.586,0.559,3.4,4.1,0.836,1.8,9.2,11.0,3.7,1.1,3.8,3.2,2.3,24.3,,2024-25,109.0,21.0,C,46.0,46.0,1527.0,24.2,0.594,0.47,0.221,5.7,29.3,17.6,18.3,1.6,10.2,13.7,30.4,1.1,2.8,3.9,0.122,3.6,2.8,6.4,3.2,,35.0,21.0,C,46.0,46.0,1527.0,408.0,857.0,0.476,142.0,403.0,0.352,266.0,454.0,0.586,0.559,158.0,189.0,0.836,82.0,424.0,506.0,168.0,52.0,176.0,149.0,105.0,1116.0,1.0,,San Antonio Spurs,26-37,23.0,0.4126984126984127
22.0,Donovan Mitchell,28.0,CLE,SG,60.0,60.0,31.3,8.4,18.6,0.451,3.5,9.0,0.384,4.9,9.5,0.514,0.544,4.0,4.9,0.819,0.7,3.6,4.3,4.8,1.3,0.2,2.1,2.0,24.2,,2024-25,49.0,28.0,SG,60.0,60.0,1875.0,21.1,0.585,0.486,0.263,2.6,12.1,7.5,23.0,2.0,0.6,9.1,31.0,4.3,2.4,6.7,0.171,4.1,-0.2,3.9,2.8,,9.0,28.0,SG,60.0,60.0,1875.0,502.0,1113.0,0.451,208.0,541.0,0.384,294.0,572.0,0.514,0.544,240.0,293.0,0.819,44.0,216.0,260.0,285.0,79.0,12.0,125.0,118.0,1452.0,0.0,,Cleveland Cavaliers,54-10,1.0,0.84375
23.0,Karl-Anthony Towns,29.0,NYK,C,57.0,57.0,35.1,8.7,16.7,0.523,2.1,4.9,0.421,6.7,11.8,0.565,0.584,4.8,5.7,0.834,3.0,10.2,13.3,3.1,1.0,0.7,2.6,3.5,24.2,,2024-25,32.0,29.0,C,57.0,57.0,1998.0,23.7,0.632,0.292,0.342,10.0,32.8,21.6,13.5,1.4,1.9,11.8,26.9,5.4,3.0,8.3,0.2,3.7,0.0,3.6,2.9,,15.0,29.0,C,57.0,57.0,1998.0,497.0,951.0,0.523,117.0,278.0,0.421,380.0,673.0,0.565,0.584,271.0,325.0,0.834,173.0,583.0,756.0,176.0,57.0,42.0,147.0,202.0,1382.0,0.0,,New York Knicks,41-23,5.0,0.640625
