Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Player-additional
107,Ayo Dosunmu,26,CHI,SG,34,7,26.1,5.3,10.3,0.513,1.8,4.1,0.446,3.4,6.2,0.557,0.602,1.9,2.2,0.868,0.6,2.1,2.7,3.6,0.7,0.2,1.2,1.6,14.3,,dosunay01
108,Jeremiah Fears,19,NOP,PG,43,41,26.8,5.4,12.4,0.434,1,3.2,0.324,4.3,9.2,0.473,0.477,2.3,2.9,0.794,0.8,2.9,3.7,3.2,1.2,0.2,2.4,1.7,14.2,,fearsje01
109,Ajay Mitchell,23,OKC,SG,39,8,26.3,5.1,10.7,0.478,1.1,3.2,0.339,4,7.5,0.538,0.529,2.8,3.2,0.881,0.7,2.8,3.5,3.6,1.4,0.3,1.5,2.2,14.1,,mitchaj01
110,Santi Aldama,25,MEM,PF,39,8,28,5.3,11.2,0.475,1.6,4.8,0.337,3.7,6.4,0.578,0.547,1.7,2.5,0.684,1.6,5.2,6.8,3.1,0.9,0.7,1.3,1.6,14,,aldamsa01
111,Deandre Ayton,27,LAL,C,34,34,29.3,6.4,9.4,0.682,0,0,,6.4,9.4,0.682,0.682,1.1,1.8,0.617,2.6,6.2,8.8,0.9,0.7,1,1.6,2.4,14,,aytonde01
112,Quentin Grimes,25,PHI,SG,37,7,31.6,4.5,10.2,0.439,2.2,6,0.362,2.3,4.2,0.548,0.545,2.9,3.3,0.87,0.7,3.2,3.9,3.8,1,0.5,2.1,2.1,14,,grimequ01
113,De'Andre Hunter,28,CLE,SF,37,23,26.8,4.8,11.1,0.428,1.7,5.5,0.307,3.1,5.6,0.545,0.504,2.8,3.2,0.875,0.7,3.6,4.3,2.2,0.6,0.1,1.6,2.6,14,,huntede01
114,Obi Toppin,27,IND,PF,3,0,27.3,5,12,0.417,1,5.7,0.176,4,6.3,0.632,0.458,3,3,1,1,5.7,6.7,1.7,1,0,2,2.3,14,,toppiob01
115,Cedric Coward,22,MEM,SG,36,23,26.7,5,10.6,0.47,1.5,4.5,0.34,3.4,6.1,0.566,0.542,2.4,2.9,0.846,1.6,5.1,6.7,2.9,0.6,0.3,1.7,2,13.9,,cowarce01
116,Tim Hardaway Jr.,33,DEN,SG,40,5,27.5,4.6,10,0.459,2.9,7,0.414,1.7,3,0.562,0.603,1.8,2,0.889,0.2,2.2,2.4,1.4,0.5,0.1,0.4,1.2,13.8,,hardati02
117,Naji Marshall,28,DAL,SF,41,18,28.9,5,9.3,0.54,0.9,2.8,0.302,4.2,6.5,0.644,0.586,2.9,3.7,0.781,0.9,3.7,4.6,2.8,1,0.1,1.3,2,13.8,,marshna01
118,Sam Merrill,29,CLE,SG,24,15,25.8,4.5,9.6,0.47,3.5,7.8,0.455,1,1.8,0.535,0.654,1.3,1.4,0.882,0.7,1.7,2.4,2.3,0.7,0.1,0.9,2.8,13.8,,merrisa01
119,Aaron Nesmith,26,IND,SF,21,18,30,4.4,12.3,0.359,2.6,7.1,0.369,1.8,5.2,0.345,0.465,2.3,2.9,0.817,1.5,3.5,5,2.1,0.7,0.6,1.3,2.6,13.8,,nesmiaa01
120,Peyton Watson,23,DEN,SF,39,29,29.4,5,9.7,0.511,1.4,3.3,0.408,3.6,6.4,0.564,0.58,2.5,3.3,0.744,1,4.1,5,1.8,1,1,1.6,2.5,13.8,,watsope01
121,Zach Edey,23,MEM,C,11,11,25.8,5.6,8.9,0.633,0.1,0.5,0.2,5.5,8.5,0.656,0.638,2.3,2.9,0.781,3.9,7.2,11.1,1.1,0.6,1.9,2.4,3.4,13.6,,edeyza01
122,Keldon Johnson,26,SAS,SF,40,0,23.6,5.1,9,0.565,1.3,3.1,0.415,3.8,6,0.643,0.636,2.1,2.7,0.778,2,4.3,6.3,1.2,0.7,0.1,1,1.9,13.6,,johnske04
123,Jarrett Allen,27,CLE,C,30,30,26.4,5.4,9.1,0.596,0,0.2,0.143,5.4,8.8,0.608,0.597,2.7,3.6,0.75,2.1,5.7,7.9,2.2,1,0.7,1.6,1.9,13.5,,allenja01
124,Kelly Oubre Jr.,30,PHI,SF,17,13,31.9,5,10.6,0.47,1.6,4.8,0.333,3.4,5.9,0.58,0.544,1.9,2.5,0.786,1,3.9,4.9,1.1,1.1,0.8,1.5,2.6,13.5,,oubreke01
125,Anfernee Simons,26,BOS,SG,39,0,24,4.8,10.9,0.439,2.5,6.3,0.402,2.3,4.6,0.489,0.555,1.3,1.5,0.881,0.5,1.8,2.3,2.5,0.4,0.1,1.1,1.7,13.5,,simonan01
126,Donte DiVincenzo,29,MIN,SG,41,41,31.5,4.5,10.7,0.421,3.1,8.1,0.381,1.4,2.6,0.547,0.565,1.3,1.7,0.761,1,3.5,4.5,4.2,1.3,0.4,1.3,2.4,13.4,,divindo01
127,Tobias Harris,33,DET,PF,23,23,27.4,4.8,10.6,0.455,1.3,4,0.333,3.5,6.6,0.53,0.518,2.4,2.9,0.848,1,3.5,4.6,2.5,0.6,0.3,1,2,13.4,,harrito02
128,Collin Gillespie,26,PHO,PG,40,21,28,4.7,10.7,0.434,2.9,7,0.409,1.8,3.8,0.48,0.566,1,1.2,0.851,1.1,3.1,4.2,4.8,1.5,0.3,1.7,1.5,13.2,,gilleco01
129,Nic Claxton,26,BRK,C,36,35,29.7,5.2,9,0.58,0.1,0.3,0.167,5.2,8.7,0.596,0.583,2.6,3.9,0.652,2.6,4.8,7.5,4,0.7,1.4,1.5,2.3,13.1,,claxtni01
130,John Collins,28,LAC,PF,38,29,27.5,5,9.2,0.546,1.3,3.1,0.412,3.7,6.1,0.615,0.616,1.7,2.1,0.802,1.4,3.6,5,0.8,0.9,0.9,1.4,2.7,13.1,,collijo01
131,Noah Clowney,21,BRK,PF,38,32,28.5,3.9,10.1,0.388,2.1,6.6,0.313,1.8,3.5,0.53,0.491,3.1,3.9,0.792,1,2.9,3.9,2,0.8,0.8,1.8,2.8,13,,clownno01
132,Bobby Portis,30,MIL,PF,40,6,23.4,5.2,10.6,0.488,1.9,4,0.472,3.3,6.6,0.498,0.578,0.7,1,0.744,1.3,5.2,6.5,1.3,0.6,0.2,1.1,1.6,13,,portibo01
133,Dennis Schröder,32,SAC,PG,31,12,27.3,4.5,10.8,0.413,1.5,4.2,0.344,3,6.5,0.458,0.481,2.6,3.2,0.818,0.5,2.7,3.3,5.7,0.8,0.2,1.9,1.7,13,,schrode01
134,Toumani Camara,25,POR,PF,41,41,33.8,4.5,10.8,0.419,2.6,7.3,0.35,2,3.5,0.563,0.537,1.3,1.8,0.707,1.8,3.4,5.1,2.7,1,0.5,2.1,3.3,12.9,,camarto01
135,Reed Sheppard,21,HOU,SG,37,4,25.4,4.8,10.7,0.444,2.5,6.2,0.404,2.3,4.5,0.5,0.561,0.9,1.2,0.773,0.4,2.3,2.6,3.2,1.4,0.6,1.2,2.2,12.9,,sheppre01
136,Jaylon Tyson,23,CLE,SG,37,22,26.9,4.9,9.6,0.513,1.9,4.1,0.458,3,5.5,0.554,0.611,1,1.4,0.731,1.9,3.4,5.3,2,1,0.5,1.3,3,12.8,,tysonja01
137,Miles McBride,25,NYK,SG,29,12,27.8,4.3,9.9,0.438,2.9,6.8,0.431,1.4,3.1,0.451,0.585,1,1.2,0.853,0.7,1.9,2.6,2.6,0.7,0.2,0.8,1.9,12.6,,mcbrimi01
138,Rui Hachimura,27,LAL,PF,28,27,32,4.9,9.4,0.519,1.8,4,0.442,3.1,5.4,0.576,0.614,1,1.3,0.75,0.8,2.9,3.7,0.9,0.6,0.2,0.8,1.8,12.5,,hachiru01
139,Kyle Kuzma,30,MIL,PF,38,15,26,4.8,9.3,0.511,0.8,2.5,0.323,3.9,6.8,0.581,0.555,2.2,2.9,0.745,0.9,3.7,4.7,2.2,0.7,0.5,1.6,2.3,12.5,,kuzmaky01
140,Derik Queen,21,NOP,C,42,30,26,4.9,9.9,0.49,0.2,0.9,0.179,4.7,9,0.523,0.499,2.7,3.4,0.778,1.7,5.7,7.5,4.3,1,1,2.5,3,12.5,,queende01
141,Wendell Carter Jr.,26,ORL,C,38,38,30.3,4.4,8.6,0.512,1.2,3.3,0.352,3.2,5.3,0.612,0.58,2.5,3.3,0.758,2.4,5.3,7.7,2.1,0.7,0.7,1.3,3.7,12.4,,cartewe01
142,Josh Hart,30,NYK,SF,30,16,30.4,4.7,9.4,0.498,1.6,4.1,0.402,3,5.3,0.572,0.585,1.4,1.8,0.792,1.6,6.1,7.8,5.1,1.3,0.3,2.2,2.6,12.4,,hartjo01
143,Tre Johnson,19,WAS,SG,32,14,24.2,4.5,9.8,0.457,2,5.2,0.394,2.5,4.7,0.527,0.56,1.4,1.5,0.917,0.5,2.5,2.9,1.9,0.7,0.3,1.6,1.9,12.4,,johnstr03
144,Tre Jones,26,CHI,PG,34,19,26.9,4.3,8,0.533,0.5,1.7,0.31,3.7,6.3,0.593,0.566,3.4,3.9,0.851,0.6,2.2,2.9,5.6,1.3,0.2,1.4,1.4,12.4,,jonestr01
145,Myles Turner,29,MIL,C,39,39,28.5,4,9.5,0.422,2.2,5.8,0.387,1.8,3.7,0.476,0.539,2.2,2.8,0.757,1.2,4.1,5.3,1.6,0.7,1.5,1,2.7,12.4,,turnemy01
146,Mark Williams,24,PHO,C,35,31,24,4.9,7.4,0.659,0,0,1,4.8,7.3,0.658,0.661,2.7,3.4,0.797,3.1,5.2,8.3,1.1,1.1,0.9,1,2.3,12.4,,willima07
147,Max Christie,22,DAL,SG,38,29,29,4.2,8.8,0.477,2.4,5.4,0.441,1.8,3.4,0.535,0.613,1.5,1.8,0.853,0.2,3.3,3.5,2.1,0.5,0.4,1.1,1.5,12.3,,chrisma02
148,Tari Eason,24,HOU,PF,21,9,23.7,4.5,9.5,0.477,2.1,4.6,0.469,2.4,4.9,0.485,0.59,0.8,1.2,0.64,1.9,4,6,1.6,1.1,0.6,1.6,2,12,,easonta01
149,Cam Spencer,25,MEM,SG,38,9,23.9,3.9,8.1,0.479,2.3,5,0.466,1.6,3.1,0.5,0.623,1.8,2,0.921,0.4,2.2,2.6,5.3,0.8,0.1,1.5,1.6,12,,spencca01
150,Jaylen Wells,22,MEM,SG,39,39,27.5,4.1,10.2,0.406,1.7,5.3,0.325,2.4,4.9,0.492,0.49,2.1,2.6,0.777,0.9,2.6,3.5,1.8,0.9,0.1,1.1,2.1,12,,wellsja01
151,Kel'el Ware,21,MIA,C,40,27,24.5,4.7,8.5,0.548,1.2,2.8,0.425,3.5,5.7,0.61,0.619,1.3,1.6,0.815,3.3,6.8,10.1,0.6,0.9,1.2,1,1.7,11.9,,wareke01
152,Dyson Daniels,22,ATL,SG,41,41,34.2,5.2,10.3,0.502,0.2,1.5,0.113,5,8.8,0.569,0.511,1.2,1.9,0.62,2.2,4.4,6.6,6.2,1.9,0.5,2.2,2.2,11.8,,daniedy01
153,Jonathan Kuminga,23,GSW,PF,18,13,24.8,4.3,10.1,0.431,0.9,2.8,0.32,3.4,7.3,0.473,0.475,2.2,3,0.741,1.6,4.6,6.2,2.6,0.3,0.3,2.4,1.7,11.8,,kuminjo01
154,Malik Monk,27,SAC,SG,33,0,21.8,4.2,9.8,0.435,1.8,4.4,0.417,2.4,5.4,0.449,0.528,1.5,1.8,0.845,0.3,1.7,2,2.4,0.7,0.4,1.3,1.7,11.8,,monkma01
155,Brandin Podziemski,22,GSW,SG,41,12,26.7,4.1,9.1,0.457,1.8,4.5,0.402,2.3,4.6,0.511,0.556,1.7,2.2,0.764,0.7,3.7,4.4,3.2,1,0.2,1.3,1.9,11.8,,podzibr01
156,Duncan Robinson,31,DET,SF,36,36,29.1,3.9,9,0.432,2.8,7.1,0.393,1.1,1.9,0.582,0.588,1.2,1.5,0.778,0.3,2.5,2.8,1.9,0.8,0.3,0.7,2.3,11.8,,robindu01
157,Brandon Williams,26,DAL,PG,35,9,22.1,4.1,9.5,0.431,0.5,2.6,0.185,3.6,6.9,0.525,0.457,3.1,3.9,0.793,0.5,2.3,2.9,3.7,1.2,0.2,1.9,1.7,11.8,,willibr03
158,Kevin Huerter,27,CHI,SF,35,10,24.3,4.5,9.7,0.459,1.6,5.3,0.31,2.8,4.5,0.635,0.543,1.1,1.5,0.769,0.5,3.2,3.7,2.4,0.9,0.6,1.2,2.1,11.7,,huertke01
159,Cameron Johnson,29,DEN,SF,28,28,30.6,4,8.8,0.461,1.9,4.5,0.429,2.1,4.3,0.496,0.571,1.7,2.1,0.81,0.7,2.9,3.6,2.4,0.6,0.3,1,2.3,11.7,,johnsca02
160,Harrison Barnes,33,SAS,PF,40,40,28.9,3.9,8.9,0.435,1.9,5.2,0.364,2,3.6,0.538,0.542,1.7,1.9,0.868,0.8,2.3,3.1,2.2,0.8,0.1,1,1.4,11.3,,barneha02
161,Julian Champagnie,24,SAS,SF,40,26,28.5,3.6,8.7,0.418,2.4,6.6,0.365,1.2,2.1,0.583,0.556,1.6,1.9,0.831,1,5.2,6.2,1.5,0.9,0.4,1,1.5,11.3,,champju02
162,Klay Thompson,35,DAL,SF,38,8,22.2,4,10.6,0.376,2.8,7.6,0.366,1.2,3,0.404,0.507,0.5,0.7,0.714,0.3,2.2,2.5,1.3,0.4,0.3,0.8,1,11.3,,thompkl01
163,Isaiah Hartenstein,27,OKC,C,24,24,26.9,4.8,7.5,0.644,0,0.2,0,4.8,7.3,0.659,0.644,1.5,2.4,0.649,3.4,7,10.4,3,1.1,0.8,2.1,2.9,11.2,,harteis01
