Rk,Player,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards,Player-additional
454,Matisse Thybulle,28,POR,SG,4,0,49,21.5,0.85,0.6,0.4,0,9,4.4,8.6,9.7,0,7.8,10.6,0.2,0.1,0.3,0.276,0.4,10.7,11.1,0.2,,thybuma01
455,Pacome Dadiet,20,NYK,SG,15,0,47,7.8,0.307,0.625,0.5,2.3,23.9,12.8,14.6,2.1,0,0,8.7,0,0.1,0.1,0.062,-4.7,2.1,-2.6,0,,dadiepa01
456,Kyle Lowry,39,PHI,PG,6,0,45,3.5,0.375,1,0,0,7.4,3.6,19.4,1.1,0,20,9.3,0,0,0,-0.006,-6.4,-1.7,-8.1,-0.1,,lowryky01
457,Caleb Houstan,23,ATL,SF,9,0,44,10.6,0.653,0.786,0.214,9.9,2.5,6.2,5.9,1.1,2.1,20.7,18.4,0,0,0,0.044,-1.7,-3,-4.7,0,,houstca01
458,Javonte Cooke,26,POR,SG,6,0,44,1,0.294,0.471,0,2.4,12.5,7.4,21.3,2.2,0,22.7,20.3,-0.2,0,-0.2,-0.169,-8,-1.9,-9.8,-0.1,,cookeja01
459,Wendell Moore Jr.,24,DET,SG,3,0,43,7.7,0.5,0.167,0,2.6,7.7,5.2,8.5,2.2,2.3,14.3,6.7,0,0.1,0.1,0.073,-3.8,1.4,-2.4,0,,moorewe01
460,Trey Alexander,22,NOP,SG,5,0,42,13.6,0.778,0.333,0,0,10.7,5.2,16.3,1.1,2.3,10,9.9,0.1,0,0.1,0.125,0.3,0.2,0.5,0,,alexatr01
461,Pete Nance,25,MIL,PF,10,0,41,14.9,0.676,0.647,0,2.8,16.5,9.7,7.6,1.2,0,15,21.5,0,0,0,0.052,2.1,-2.5,-0.4,0,,nancepe01
462,Miles Kelly,23,DAL,PG,5,0,41,4.2,0.5,0.667,0,5.3,15.1,10.3,6.6,0,0,20,15.4,-0.1,0,0,-0.035,-7.1,-1.7,-8.8,-0.1,,kellymi02
463,Dario Šarić,31,SAC,C,5,0,41,0.7,0.363,0.5,0.333,2.7,14,8.2,5.9,0,0,22.5,9.3,-0.1,0,-0.1,-0.078,-6.9,-2.1,-9.1,-0.1,,saricda01
464,Johni Broome,23,PHI,C,7,0,40,2.4,0.23,0.15,0.2,16.1,19.5,17.8,13.4,2.4,0,8.4,25,-0.2,0.1,-0.1,-0.17,-10.3,-4.9,-15.2,-0.1,,broomjo01
465,Trey Jemison,26,NYK,C,6,0,38,9.5,1.017,0,0.333,14,14.8,14.4,3.2,0,5.2,46.6,7.1,0,0,0.1,0.079,-5.6,-0.8,-6.4,0,,jemistr01
466,Thanasis Antetokounmpo,33,MIL,SF,12,0,36,22,0.627,0,0.75,9.6,9.4,9.5,0,6.8,8.1,11.1,22,0,0.1,0.1,0.181,-1.9,4.3,2.4,0,,antetth01
467,E.J. Liddell,25,BRK,PF,8,0,35,10.7,0.526,0.667,0.25,9.4,20.7,14.8,0,0,0,0,16.5,0,0,0.1,0.071,-2.2,-4.4,-6.6,0,,liddeej01
468,Tyson Etienne,26,BRK,PG,8,0,34,-1.2,0.4,0.867,0,0,0,0,4.4,0,0,6.3,20.4,-0.1,0,-0.1,-0.129,-8.9,-5.5,-14.4,-0.1,,etienty01
469,Mac McClung,27,IND,SG,3,0,34,13.2,0.481,0.556,0.222,0,13.1,6.3,4.8,7,2.6,9.2,27,-0.1,0.1,0,0.002,-5.7,6.2,0.5,0,,mccluma01
470,Emanuel Miller,25,CHI,PF,5,0,33,15.2,0.54,0.462,0.154,3.3,6.3,4.8,17.1,2.9,0,0,17.6,0.1,0,0.1,0.112,1.7,0.8,2.5,0,,milleem01
471,Jahmyl Telfort,24,LAC,PF,8,0,32,-5.4,0.087,1,1,0,10.6,5.5,3.8,1.6,0,14.8,9.4,-0.1,0,-0.1,-0.171,-12.1,-1.9,-14,-0.1,,telfoja01
472,Seth Curry,35,GSW,SG,2,0,32,18.8,0.778,0.444,0,3.4,10.4,6.9,14.4,3,0,0,11.9,0.1,0,0.2,0.227,1.4,3.8,5.2,0.1,,curryse01
473,Amari Williams,24,BOS,PF,6,0,31,9.4,0.521,0,1,7.2,17.9,12.6,3.7,1.6,6.5,0,4,0,0,0.1,0.123,-3.2,1.7,-1.5,0,,william01
474,Charles Bassey,25,MEM,C,2,0,31,12.6,0.376,0,0.375,24,27.1,25.6,8.5,1.5,3.1,9.7,13.7,0,0.1,0.1,0.089,-3.2,-0.9,-4.1,0,,bassech01
475,Jalen Green,23,PHO,SG,2,2,30,29.1,0.615,0.609,0.217,7.2,7.6,7.4,26.5,3.2,0,7.4,37.9,0.1,0,0.1,0.207,10.9,0.9,11.7,0.1,,greenja05
