Rank,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
498.0,Quincy Olivari,23.0,LAL,PG,2.0,0.0,5.0,0.5,2.5,0.2,0.5,2.5,0.2,0.0,0.0,,0.3,0.0,0.0,,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,1.5,
499.0,Matt Ryan,27.0,NYK,SF,19.0,0.0,3.6,0.5,1.6,0.323,0.3,1.0,0.316,0.2,0.6,0.333,0.419,0.1,0.1,1.0,0.0,0.4,0.4,0.2,0.1,0.0,0.2,0.1,1.5,
500.0,Tristan Thompson,33.0,CLE,C,33.0,0.0,7.2,0.7,1.6,0.434,0.0,0.1,0.0,0.7,1.5,0.46,0.434,0.2,0.7,0.227,0.7,2.1,2.8,0.6,0.0,0.2,0.3,0.8,1.5,
501.0,Alex Ducas,24.0,OKC,SG,17.0,0.0,4.5,0.5,1.3,0.364,0.4,0.9,0.438,0.1,0.4,0.167,0.523,0.0,0.0,,0.3,0.6,0.9,0.1,0.1,0.0,0.2,0.4,1.4,
502.0,Adam Flagler,25.0,OKC,SG,25.0,0.0,4.1,0.5,2.3,0.228,0.3,1.8,0.174,0.2,0.4,0.455,0.298,0.0,0.0,,0.1,0.2,0.4,0.0,0.2,0.1,0.0,0.4,1.4,
503.0,Bronny James,20.0,LAL,SG,18.0,0.0,4.2,0.4,1.7,0.258,0.2,0.8,0.2,0.3,0.9,0.313,0.306,0.3,0.5,0.667,0.1,0.4,0.4,0.4,0.2,0.1,0.3,0.3,1.4,
504.0,Alex Len,31.0,2TM,C,41.0,4.0,7.6,0.6,1.1,0.511,0.0,0.1,0.167,0.6,1.0,0.561,0.521,0.2,0.3,0.538,0.7,1.1,1.8,0.8,0.2,0.5,0.3,1.0,1.4,
504.0,Alex Len,31.0,SAC,C,36.0,3.0,7.2,0.6,1.1,0.537,0.0,0.2,0.167,0.6,1.0,0.6,0.549,0.2,0.4,0.538,0.7,1.1,1.8,0.8,0.2,0.5,0.3,1.0,1.4,
504.0,Alex Len,31.0,LAL,C,5.0,1.0,10.6,0.4,1.2,0.333,0.0,0.0,,0.4,1.2,0.333,0.333,0.0,0.0,,0.8,1.4,2.2,0.8,0.0,0.4,0.2,1.4,0.8,
505.0,JD Davison,22.0,BOS,PG,9.0,0.0,4.3,0.3,1.0,0.333,0.2,0.7,0.333,0.1,0.3,0.333,0.444,0.4,0.6,0.8,0.0,0.3,0.3,0.3,0.2,0.0,0.7,0.1,1.3,
